idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
9,0001936258,2022,59782000,,,,,,,,,,,,,,,,,1384000,4045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0001936258,2023,531583000,477979000,,48431000,36057000,,478497000,-73035000,10055000,-140036000,,,,,,,34977000,9294000,30588000,-34977000,411000,,27000,-41785000,,,-3.81,-3.81,10978874,10978874,-29512000,-24000,84704000,,,,,,,,,,,11853000,,,34000,,,,,,,,,,,,,,
11,0001936258,2024,347097000,346791000,,58704000,49897000,,347097000,-113816000,10173000,-316973000,,,,,,,106251000,19507000,86744000,-3557000,287000,,27000,-22634000,,,-1.19,-1.19,18966235,18966235,10665000,-221000,391905000,,340450000,,,,,,74000,,,16923000,,,46000,,,,,,,,,,,,,,
12,0001413447,2014,6449000000,2092000000,4357000000,,1193000000,3710000000,6449000000,1301000000,51000000,-5105000000,,245000000,,4358000000,,1988000000,,977000000,628000000,412000000,270000000,,1000000,-115000000,,,-0.46,-0.46,248064000,248064000,,,,-126000000,670000000,251000000,,,,,533000000,740000000,,544000000,2277000000,,1070000000,,,,,,,,,,,,,,
13,0001413447,2015,6850000000,2630000000,4220000000,,1320000000,4729000000,6850000000,538000000,51000000,-4804000000,,263000000,,4815000000,,2177000000,,664000000,639000000,651000000,214000000,,20000000,348000000,,,1.4,1.36,248526000,255050000,,,,53000000,617000000,215000000,,,,,514000000,755000000,,729000000,2358000000,1866000000,1048000000,,,,,,,,,,,,,,
14,0001413447,2016,26354000000,4812000000,21542000000,,2548000000,12003000000,26354000000,11515000000,69000000,-3542000000,,288000000,,5647000000,,2640000000,,686000000,763000000,1049000000,158000000,,40000000,539000000,,,2.27,2.17,237954000,248609000,,,,515000000,670000000,329000000,,,,,405000000,1879000000,1047000000,1014000000,2121000000,9978000000,1123000000,,,,,,,,,,,,,,
15,0001413447,2017,24898000000,5398000000,19500000000,,2433000000,11309000000,24898000000,10935000000,69000000,-3934000000,,221000000,,6101000000,,2787000000,,922000000,890000000,2015000000,227000000,,-104000000,1526000000,,,6.36,6.1,239764000,250116000,,,,429000000,1185000000,341000000,,,,,517000000,1113000000,1033000000,973000000,7399000000,9512000000,2922000000,,,,,,,,,,,,,,
16,0001413447,2018,24049000000,6044000000,18005000000,,2718000000,7615000000,24049000000,13527000000,69000000,-2339000000,,189000000,,,,4069000000,,1141000000,1560000000,-150000000,408000000,,-851000000,200000000,,,0.59,0.58,338477000,347607000,2303000000,-627000000,-1392000000,280000000,1614000000,389000000,,,,,2205000000,1236000000,879000000,1146000000,8843000000,9335000000,2352000000,,,,,,,,,,,,,,
17,0001413447,2019,21530000000,5225000000,16305000000,10840000000,3385000000,7455000000,21530000000,10505000000,66000000,-1907000000,,185000000,,,,4619000000,4092000000,1090000000,1554000000,2102000000,310000000,,-483000000,2215000000,,,6.54,6.41,338646000,345802000,2447000000,2072000000,-2886000000,,2789000000,552000000,,,,,2173000000,1279000000,792000000,999000000,8866000000,,2295000000,,,,,,,,,,,,,,
18,0001413447,2020,20016000000,3267000000,16749000000,10361000000,1791000000,8570000000,20016000000,9441000000,63000000,-2845000000,,214000000,,,,4851000000,4142000000,993000000,1700000000,2710000000,273000000,,176000000,2208000000,,,6.78,6.72,325781000,328606000,4369000000,-522000000,-4597000000,,1045000000,611000000,,,,,1987000000,1192000000,667000000,944000000,8857000000,,2436000000,,,,,,,,,,,,,,
