idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
1,1180145,2014,96897000,89829000,,30065000,22413000,7652000,96897000,21635000,24000,-203275000,,,,,19216000,63274000,77740000,66366000,11374000,-14466000,1356000,,,-16790000,,,,,18035635,18035635,-11340000,-975000,26685000,14370000,21159000,437000,14889000,,,,,6243000,14730000,7230000,,,2999000,7472000,,,,,,,,,,,,,
2,1180145,2015,181901000,162711000,,29846000,29729000,,181901000,32189000,31000,-238565000,,,,,24382000,79515000,101934000,86718000,15216000,-22419000,1345000,,,-24037000,,,,,21685932,21685932,-10765000,-2455000,45588000,32368000,35529000,1672000,38209000,,,,,12890000,21383000,12699000,,,15297000,,,,,,,,,,,,,,
3,1180145,2016,171328000,133894000,,31893000,29888000,,171328000,66832000,32000,-271387000,,,,,31041000,105571000,139060000,117994000,21066000,-33489000,1034000,,,-35290000,,,,,28295758,28295758,-26838000,-13419000,98952000,58695000,67897000,12717000,84369000,,,,,13966000,30830000,9763000,,,32883000,,,,,,,,,,,,,,
4,1180145,2017,142406000,104882000,,41509000,35499000,,142406000,152055000,33000,-327411000,,,,,39520000,142024000,174661000,143684000,30977000,-32637000,23000,,114000,-32822000,,,-0.88,-0.88,31547711,31547711,-22357000,-23027000,2634000,-42750000,126592000,20325000,,,,,,17440000,23128000,8506000,,,32471000,,,,,,,,,,,,,,
5,1180145,2018,193940000,159059000,,75551000,40972000,,193940000,139435000,33000,-329303000,,,,,35421000,142763000,198840000,162542000,25934000,-56077000,0,,92000,-56024000,,,-1.72,-1.72,32537621,32537621,-23583000,-3769000,4148000,-23204000,83842000,3818000,,,,,,16897000,28472000,10736000,,,29696000,,,,,,,,,,,,,,
6,1180145,2019,203352000,167611000,,68882000,37460000,,203352000,100897000,33000,-327591000,,,,,,165465000,167007000,144096000,22911000,-1542000,500000,,86000,-1792000,,,-0.06,-0.06,32373709,32373709,19588000,-1779000,29465000,47274000,60638000,981000,,,,,,16605000,31225000,10441000,,,27744000,,,,,,,,,,,,,,
7,1180145,2020,218577000,180075000,,70633000,42345000,,218577000,118389000,34000,-329536000,,,,,,177559000,175325000,148569000,26552000,2234000,1717000,,132000,1712000,,,0.05,0.05,33145140,33614260,9674000,-5095000,3769000,8348000,107912000,1956000,0,,,,,18058000,36015000,11194000,,,27324000,,,,,,,,,,,,,,
8,1180145,2021,339519000,287689000,,70727000,44506000,,339519000,134470000,39000,-363075000,,,,,,200337000,201162000,167700000,33166000,-825000,1684000,,190000,-255000,,,-0.27,,33969818,33535759,10208000,-54352000,2121000,-8770000,116260000,2665000,0,,,,,27706000,25212000,11539000,,,27810000,,,,,,,,,,,,,,
9,1180145,2022,352567000,284669000,,81609000,54650000,,352567000,147944000,39000,-381380000,,,,,,187786000,214558000,169969000,43355000,-26772000,1973000,,231000,-27236000,,-27236000,-0.79,-0.79,34275957,34275957,-12765000,-8669000,132660000,,185463000,3369000,134979000,,,,,32313000,40033000,14061000,,,28894000,,,,,,,,,,,,,,
10,1180145,2023,322677000,241846000,,73197000,39954000,,322677000,270958000,40000,-423680000,,,,,,44062000,52177000,41851000,10022000,-8115000,410000,,136000,-8618000,,,-0.22,-0.22,39087472,39087472,-10784000,11606000,-5028000,,66424000,1103000,,,,,,34567000,39678000,14383000,,,29035000,,,,,,,,,,,,,,
