idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
1,0001959961,2024,https://www.sec.gov/Archives/edgar/data/1959961/000095017025110909/ck0001959961-20241231.htm,https://www.sec.gov/Archives/edgar/data/1959961/000095017024060331/ck0001959961-20240331.htm,https://www.sec.gov/Archives/edgar/data/1959961/000095017024096904/ck0001959961-20240630.htm,https://www.sec.gov/Archives/edgar/data/1959961/000095017024126212/ck0001959961-20240930.htm,
2,0001959961,2023,https://www.sec.gov/Archives/edgar/data/1959961/000095017024034216/ck0001959961-20231231.htm,,,https://www.sec.gov/Archives/edgar/data/1959961/000095017023063580/ck0001959961-20230930.htm,
3,0001626644,2024,https://www.sec.gov/Archives/edgar/data/1626644/000168316824007967/odyssey_i10k-073124.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316824001645/odyssey_i10q-013124.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316824004251/odyssey_i10q-043024.htm,,https://www.sec.gov/Archives/edgar/data/1626644/000168316824008756/odyssey_i10q-103124.htm
4,0001626644,2023,https://www.sec.gov/Archives/edgar/data/1626644/000168316823008504/odyssey_i10ka1.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316823001588/odyssey_i10q-013123.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316823004137/odyssey_i10q-043023.htm,,https://www.sec.gov/Archives/edgar/data/1626644/000168316823008887/odyssey_i10q-103123.htm
5,0001626644,2022,https://www.sec.gov/Archives/edgar/data/1626644/000168316822007161/odyssey_i10k-073122.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316822001689/odyssey_i10q-013122.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316822004342/odyssey_i10q-043022.htm,,https://www.sec.gov/Archives/edgar/data/1626644/000168316822008426/odyy_i10q-103122.htm
6,0001626644,2021,https://www.sec.gov/Archives/edgar/data/1626644/000168316821005136/odyssey_10k-073121.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316821000891/odyssey_10q-013121.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316821002648/odyssey_043021.htm,,https://www.sec.gov/Archives/edgar/data/1626644/000168316821006265/ody_i10q-103121.htm
7,0001626644,2020,https://www.sec.gov/Archives/edgar/data/1626644/000168316820003913/odyssey_10k-073120.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316820003886/odyssey_10qa1-013120.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316820003888/odyssey_10qa1-043020.htm,,https://www.sec.gov/Archives/edgar/data/1626644/000168316820004260/odyssey_10q-103120.htm
8,0001626644,2019,https://www.sec.gov/Archives/edgar/data/1626644/000168316820003882/odyssey_10ka1-073119.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316819000655/odyssey_10q-013119.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316819001828/odyssey_10q-043019.htm,,https://www.sec.gov/Archives/edgar/data/1626644/000168316820003884/odyssey_10qa1-103119.htm
9,0001626644,2018,https://www.sec.gov/Archives/edgar/data/1626644/000168316818003679/odyssey_10k-073118.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316818001563/odyssey_10q-013118.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316818002153/odyssey_10q-043018.htm,,https://www.sec.gov/Archives/edgar/data/1626644/000168316819000633/odyssey_10q-103118.htm
10,0001626644,2017,https://www.sec.gov/Archives/edgar/data/1626644/000168316817003008/odyssey_10k.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316817000643/odyssey_10q-013117.htm,https://www.sec.gov/Archives/edgar/data/1626644/000168316817001641/odyssey_10q-043017.htm,,https://www.sec.gov/Archives/edgar/data/1626644/000168316817003357/odyssey_10q-103117.htm
